Arquitecto  &#9963;
Ingeniero Aeronáutico &#9972;
Ingeniero Agrónomo  &#9822;
Ingeniero de Caminos Canales y Puertos &#9942;
Ingeniero de Materiales &#9874;
Ingeniero de Minas  &#9935;
Ingeniero de Montes &#9968;
Ingeniero de Organización Industrial  &#9888;
Ingeniero de Telecomunicación &#128246;
Ingeniero en Automática y Electrónica Industrial  &#9889;
Ingeniero en Electrónica  &#9889;
Ingeniero en Geodesia y Cartografía
Ingeniero en Informática  &#128189;
Ingeniero Geólogo &#127757;
Ingeniero Industrial  &#127981;
Ingeniero Naval y Oceánico  &#128674;
Ingeniero Químico &#128300;
Licenciado en Administración y Dirección de Empresas  &#128201;
Licenciado en Antropología Social y Cultural  &#128113;
Licenciado en Bellas Artes  &#127912;
Licenciado en Biología  &#128375;
Licenciado en Bioquímica  &#9763;
Licenciado en Biotecnología &#128062;
Licenciado en Ciencia y Tecnología de los Alimentos &#127858;
Licenciado en Ciencias Actuariales y Financieras  &#128202;
Licenciado en Ciencias Ambientales  &#127969;
Licenciado en Ciencias de la Actividad Física y del Deporte &#127939;
Licenciado en Ciencias del Mar  &#128741;
Licenciado en Ciencias del Trabajo  &#128736;
Licenciado en Ciencias Políticas y de la Administración &#128506;
Licenciado en Ciencias y Técnicas Estadísticas  &#128200;
Licenciado en Comunicación Audiovisual  &#128249;
Licenciado en Criminología  &#128269;
Licenciado en Derecho &#9878;
Licenciado en Documentación &#128441;
Licenciado en Economía  &#128177;
Licenciado en Enología  &#127863;
Licenciado en Estudios de Asia Oriental &#127983;
Licenciado en Farmacia  &#9877;
Licenciado en Filología Alemana &#128483;
Licenciado en Filología Árabe &#9770;
Licenciado en Filología Catalana  &#128483;
Licenciado en Filología Clásica &#128483;
Licenciado en Filología Francesa  &#128483;
Licenciado en Filología Gallega &#128483;
Licenciado en Filología Hispánica &#128483;
Licenciado en Filología Inglesa &#128483;
Licenciado en Filología Románica  &#128483;
Licenciado en Filología Vasca &#128483;
Licenciado en Filosofía &#128218;
Licenciado en Física  &#9791;
Licenciado en Geografía &#127760;
Licenciado en Geología  &#127748;
Licenciado en Historia  &#127963;
Licenciado en Historia del Arte &#128444;
Licenciado en Historia y Ciencias de la Música  &#127929;
Licenciado en Humanidades &#128106;
Licenciado en Investigación y Técnicas de Mercado &#128479;
Licenciado en Lingüística &#128491;
Licenciado en Máquinas Navales  &#128676;
Licenciado en Matemáticas &#128425;
Licenciado en Medicina  &#9764;
Licenciado en Náutica y Transporte Marítimo &#9972;
Licenciado en Odontología &#128513;
Licenciado en Pedagogía &#127890;
Licenciado en Periodismo  &#128395;
Licenciado en Psicología  &#936;
Licenciado en Psicopedagogía  &#128696;
